use_count,fp_size,radius,accuracy
False,2048,2,0.6963093835885356
False,2048,3,0.6923831959167648
False,2048,5,0.6872791519434629
False,4096,2,0.6998429524931292
False,4096,3,0.7021986650961916
False,4096,5,0.6976835492736553
False,8192,2,0.7029839026305458
False,8192,3,0.6968983117393012
False,8192,5,0.704554377699254
True,2048,2,0.6953278366705928
True,2048,3,0.7006281900274833
True,2048,5,0.6914016489988222
True,4096,2,0.7025912838633687
True,4096,3,0.702002355712603
True,4096,5,0.7029839026305458
True,8192,2,0.7004318806438948
True,8192,3,0.7108362779740872
True,8192,5,0.7029839026305458
