use_count,fp_size,radius,accuracy
False,2048,2,0.5996732026143791
False,2048,3,0.5980392156862745
False,2048,5,0.5996732026143791
False,4096,2,0.6062091503267973
False,4096,3,0.6029411764705882
False,4096,5,0.5980392156862745
False,8192,2,0.6111111111111112
False,8192,3,0.5964052287581699
False,8192,5,0.5490196078431373
True,2048,2,0.5866013071895425
True,2048,3,0.5604575163398693
True,2048,5,0.5735294117647058
True,4096,2,0.630718954248366
True,4096,3,0.5604575163398693
True,4096,5,0.5898692810457516
True,8192,2,0.6127450980392157
True,8192,3,0.5898692810457516
True,8192,5,0.5947712418300654
