smiles,cid,mouse_vo,GHS_Category
Br.Br.CC(=O)Oc1ccc(N2CCN(CC3CN=C(N)O3)CC2)cc1,3072942.0,1100.0,4
Br.Br.CC(C)(c1ccccc1)c1cc(CN2CCCCC2)c(O)c(CN2CCCCC2)c1,74972.0,330.0,4
Br.Br.CC(C)N(CCCOc1ccc(N=C(Nc2ccccc2)c2ccccc2)cc1)C(C)C,54632.0,347.0,4
Br.Br.CC(C)N(CCOc1ccc(N=C(Nc2ccc(F)cc2)c2ccccc2)cc1)C(C)C,54656.0,630.0,4
Br.Br.CC(C)N(CCOc1ccc(N=C(Nc2cccc(C(F)(F)F)c2)c2ccccc2)cc1)C(C)C,54658.0,1000.0,4
Br.Br.CC(C)N(CCOc1ccc(N=C(Nc2ccccc2)c2ccccc2)cc1)C(C)C,54624.0,900.0,4
Br.Br.CC(C)N(CCSc1ccc(N=C(Nc2ccccc2)c2ccccc2)cc1)C(C)C,54626.0,400.0,4
Br.Br.CC(CCCCc1ccccc1)N1CCN(C(C)CCCCc2ccccc2)CC1,3064089.0,3000.0,5
Br.Br.CC(CCc1ccc2c(c1)OCO2)N1CCN(C(C)CCc2ccc3c(c2)OCO3)CC1,3064087.0,400.0,4
Br.Br.CC(NCCNC(C)c1ccc2ccccc2c1)c1ccc2ccccc2c1,58354.0,1600.0,4
Br.Br.CC1C2CCC3C4CC=C5CC(N(C)C)CCC5(C)C4CCC32CN1C,111109.0,390.0,4
Br.Br.CCC(CCc1ccc(OC)cc1)N1CCN(C(CC)CCc2ccc(OC)cc2)CC1,3064082.0,3000.0,5
Br.Br.CCC(CCc1ccc(OC)cc1)NCCNC(CC)CCc1ccc(OC)cc1,58352.0,500.0,4
Br.Br.CCC1(c2ccccc2)C(=O)N(CSC(=N)N)C(=O)N(CSC(=N)N)C1=O,39599.0,1000.0,4
Br.Br.CCC1(c2ccccc2)C(=O)N(CSC(=N)Nc2ccccc2)C(=O)N(CSC(=N)Nc2ccccc2)C1=O,206501.0,500.0,4
Br.Br.CCCCCCCCC(NCCNC(CCCCCCCC)c1ccccc1)c1ccccc1,25467.0,300.0,3
Br.Br.CCCCCCCCN1CCC2(CC1)CN=C1SCC(O)(c3cc(OC)ccc3OC)N1C2,3040589.0,949.0,4
Br.Br.CCCCCCCCN1CCC2(CC1)CN=C1SCC(O)(c3ccccc3OC)N1C2,3040545.0,900.0,4
Br.Br.CCCCN1CCC2(CC1)CN=C1SCC(O)(c3cc(OC)ccc3OC)N1C2,3040533.0,1440.0,4
Br.Br.CCCN(CCC)c1nc(Cl)c(SC)c(NCCN(CC)CC)n1,3043431.0,800.0,4
Br.Br.CCN(CC)CCNc1nc(N(C)c2ccccc2)nc(Cl)c1SC,3043349.0,225.0,3
Br.Br.CCN(CC)CCNc1nc(N(CC)CC)nc(Cl)c1SC,3043351.0,225.0,3
Br.Br.CCN(CC)c1nc(Cl)c(SC)c(N2CCN(C)CC2)n1,3043443.0,600.0,4
Br.Br.CCN(CC)c1nc(OC2CCN(C)CC2)c(SC)c(OC2CCN(C)CC2)n1,3044409.0,600.0,4
Br.Br.CCN(CC)c1nc(OCCCN(C)C)c(SC)c(OCCCN(C)C)n1,3044432.0,900.0,4
Br.Br.CCN(CC)c1nc(OCCN(C(C)C)C(C)C)c(SC)c(OCCN(C(C)C)C(C)C)n1,3044436.0,675.0,4
Br.Br.CCN(CC)c1nc(OCCN(C)C)c(SC)c(OCCN(C)C)n1,3044434.0,600.0,4
Br.Br.CCN=C(Nc1ccc(OCCN(C(C)C)C(C)C)cc1)c1ccccc1,54618.0,687.0,4
Br.Br.CN(C)CCOc1ccc(N=C(Nc2ccccc2)c2ccccc2)cc1,54634.0,500.0,4
Br.Br.CN(C)CNCC1CCSc2c1c1ccccc1n2C,3056106.0,750.0,4
Br.Br.CN(CCOc1ccc(N=C(Nc2ccccc2)c2ccccc2)cc1)Cc1ccccc1,54640.0,500.0,4
Br.Br.CN1CCN(C2Cc3cc(O)c(O)cc3Sc3ccc(Cl)cc32)CC1,3045600.0,500.0,4
Br.Br.CN1CCN(CC23CC4CC(CC(C4)C2Br)C3)CC1,42969.0,586.0,4
Br.Br.CNC(=S)NCCCN,3034927.0,1600.0,4
Br.Br.CNCCCN1Cc2ccccc2Sc2ccc(Cl)cc21,43487.0,760.0,4
Br.Br.COc1ccc(N=C(Nc2ccc(OCCCN3CCCC3)cc2)c2ccc(C)cc2)cc1,3067069.0,400.0,4
Br.Br.COc1ccc(OC)c(C2(O)CSC3=NCC4(CCN(Cc5ccccc5)CC4)CN32)c1,3040537.0,1200.0,4
Br.Br.COc1ccccc1C1(O)CSC2=NCC3(CCN(Cc4ccccc4)CC3)CN21,3040591.0,380.0,4
Br.Br.COc1nc(N(C)c2ccccc2)nc(NCCN(C(C)C)C(C)C)c1SC,3043435.0,600.0,4
Br.Br.CSc1c(COCCN(C)C)nc(N(C)c2ccccc2)nc1NCCN(C(C)C)C(C)C,3043679.0,200.0,3
Br.Br.CSc1c(NCCN(C)C)nc(N(C)C)nc1OCc1cccnc1,3043380.0,175.0,3
