smiles,cid,rat_vi,GHS_Category
Br.Br.N=C(N)SCCN,5940.0,85.0,3
Br.C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,134052.0,24.8,2
Br.CC(=O)SCc1cnc(C)c(O)c1CN,28546.0,405.0,4
Br.CC(=O)SCc1cnc(C)c(O)c1CSC(C)=O,51855.0,41.0,2
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,5702161.0,65.0,3
Br.CC1(CCOCCCN2CCCCC2)Oc2ccccc2O1,54144.0,9.0,2
Br.CC1CCC2C(C)C3C(CC4C5CC=C6CC(O)CCC6(C)C5CC(O)C43C)N2C1,201522.0,70.0,3
Br.CN1CCC2(C)CC(Cc3ccc(O)cc32)C1,11630995.0,64.0,3
Br.COC1CC=C2CCN3CCC4=C(CC(=O)OC4)C23C1,11957537.0,8.9,2
Br.COc1ccc2c3c1OC1CC(O)C=C(CCN(C)C2)C31,56840968.0,10.0,2
Br.NC(CCC(=O)[O-])C(=O)[O-].[Mg+2],171266.0,325.0,4
BrCCCBr.CN(C)CCCCCCN(C)C,24769.0,20.0,2
Brc1ccc(-c2c[n+]3ccccc3n2CCCCCCn2c(-c3ccc(Br)cc3)c[n+]3ccccc23)cc1.[Br-].[Br-],15588595.0,4.741,1
Brc1nc(Br)c(Br)[nH]1,16253.0,15.0,2
C#CC(C)(O)C(O)c1ccccc1,16252.0,260.0,3
C#CC1(OC(N)=O)CCCCC1,3284.0,157.0,3
C#CCN(C)C(C)Cc1ccccc1.Cl,106425.0,72.16666666666667,3
C#CCN(C)CCCOc1ccc(Cl)cc1Cl.Cl,28767.0,62.0,3
C#CCN(C)Cc1ccc(OC)c2oc(=O)c(-c3ccccc3)cc12.Cl,24835350.0,90.0,3
C#CCN(C)Cc1ccccc1.Cl,9373.0,175.0,3
C#CCN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,75357248.0,60.0,3
C#N,768.0,0.81,1
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1547484.0,24.0,2
C(=Cn1c(-c2ccccc2)c[n+]2ccccc12)n1c(-c2ccccc2)c[n+]2ccccc12.[O-][Cl+3]([O-])([O-])[O-].[O-][Cl+3]([O-])([O-])[O-],56843620.0,3.3120000000000003,1
C(=Nc1nc(-c2ccccc2)cs1)c1ccccc1,9577582.0,300.0,3
C.C.CCCCCCCCCCCC.CCCCCCCCCCCC.C[N+](C)(C)C.C[N+](C)(C)Cc1ccccc1.C[N+](C)(C)Cc1ccccc1.[Cl-].[Cl-].[Cl-],156614035.0,3.06,1
C.C.C[S+](C)[O-].C[S+](C)[O-].[Pt+2],3053799.0,51.2,3
C1=C2CCCNC2C2CC1C1CCCCN1C2,162147.0,75.0,3
C1=Cc2cccc(OCC3CNCCO3)c2C1.Cl,47517.0,77.3,3
C1=Nc2ccccc2Oc2ccccc21,9213.0,26.0,2
