smiles,cid,rat_vo,GHS_Category
Br.Br.CC(C)(c1ccccc1)c1cc(CN2CCCCC2)c(O)c(CN2CCCCC2)c1,74972.0,600.0,4
Br.C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,134052.0,233.0,3
Br.CC(=O)SCc1cnc(C)c(O)c1CN,28546.0,2000.0,4
Br.CC(=O)SCc1cnc(C)c(O)c1CSC(C)=O,51855.0,870.0,4
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,5702161.0,1600.0,4
Br.CC12CCCCCC(Cc3ccc(O)cc31)C2N,171575.0,243.0,3
Br.CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C1C(CC23)C1(O)CC(OC)C2CC4C1(O)C2OC,90479363.0,47.5,2
Br.CCOC(=O)c1ccc(N)cc1.CN(C)CCC(c1ccccc1)c1ccccn1.CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12.Cn1c(=O)c2c(ncn2C)n(C)c1=O.O=C(O)C=CC(=O)O,6447423.0,4550.0,5
Br.CCSc1nc(N)c2c(C)coc2n1,3050489.0,5000.0,5
Br.CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,6603108.0,1270.0,4
Br.CN1CCC2(C)CC(Cc3ccc(O)cc32)C1,11630995.0,320.0,4
Br.CN1CCC23CCCCC2C1Cc1ccc(O)cc13,5464026.0,350.0,4
Br.COc1cc2c3c(c1)OC1CC(O)C=CC31CCN(C)C2.Cl.Nc1ccncc1,121231429.0,33.0,2
Br.COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,5475316.0,292.5,3
Br.COc1ccc2c3c1OC1CC(O)C=C(CCN(C)C2)C31,56840968.0,75.0,3
Br.CSc1nc(N)c2c(C)coc2n1,3050491.0,5000.0,5
Br.Cc1ccccc1C(OC1CC2CCC(C1)N2C)c1ccccc1,208098.0,400.0,4
Br.N,25514.0,2700.0,5
BrBr,24408.0,2600.0,5
BrC(Br)Br,5558.0,933.0,4
BrC(Br)C(Br)Br,6588.0,1200.0,4
BrC1(Br)C2CCC1CC2,33562.0,210.0,3
BrC=CBr,637929.0,62.0,3
BrC=Cc1ccccc1,5314126.0,1250.0,4
BrCBr,3024.0,108.0,3
BrCC(Br)C1CCC(Br)C(Br)C1,18728.0,3220.0,5
BrCC=CCBr,641245.0,62.0,3
BrCCBr,7839.0,108.0,3
